Site.ID,Location,Lat,Long,Date.Registered,Producing.in.Last.3.Years,AdjustedLat,AdjustedLong
FS1309,SCOT,57.55602873,-6.398487176,12-Mar-13,New,57.65602873,-6.498487176
FS1312,SCOT,59.28877352,-2.837262497,13-Dec-13,New,59.28877352,-2.837262497
FS1315,SCOT,57.43903358,-7.201845664,20-May-14,New,57.43903358,-7.201845664
FS1317,SCOT,57.04513026,-6.270161944,14-Jun-14,New,57.14513026,-6.370161944
FS1318,SCOT,57.42335384,-6.147487135,18-Jun-14,New,57.42335384,-6.147487135
FS1097,SCOT,60.02525423,-1.343338687,11-Sep-02,No,60.02525423,-1.543338687
FS1111,SCOT,56.14630027,-5.543185456,07-May-04,No,56.14630027,-6.543185456
FS1113,SCOT,60.44416205,-1.451210383,16-Jul-04,No,60.44416205,-1.651210383
FS1116,SCOT,60.31722012,-1.373692329,20-Jul-04,No,60.31722012,-1.573692329
FS1289,SCOT,56.14971849,-3.928381162,08-Sep-10,No,56.14971849,-2.928381162
FS0271,SCOT,56.24769987,-5.518644835,30-Sep-70,Yes,56.24769987,-6.518644835
FS0056,SCOT,57.94429252,-5.206652002,19-Apr-75,Yes,57.94429252,-6.406652002
FS0247,SCOT,57.33437289,-6.410162718,06-Aug-75,Yes,57.33437289,-7.510162718
FS0249,SCOT,56.87042542,-5.685347735,11-Sep-75,Yes,56.87042542,-6.685347735
FS0244,SCOT,56.68762911,-5.138164252,24-Sep-76,Yes,56.68762911,-7.138164252
FS0248,SCOT,57.24990483,-5.494308802,09-Apr-77,Yes,57.24990483,-6.694308802
FS0234,SCOT,57.54066931,-5.639149764,31-Mar-78,Yes,57.54066931,-6.839149764
FS0634,SCOT,56.3762506,-5.763833562,31-Dec-78,Yes,56.3762506,-6.763833562
FS0240,SCOT,56.73150979,-5.249756932,17-May-79,Yes,56.73150979,-6.249756932
FS0241,SCOT,56.61498165,-5.502228118,30-May-80,Yes,56.61498165,-6.502228118
FS0057,SCOT,57.86575901,-5.111956871,19-Sep-80,Yes,57.86575901,-6.311956871
FS0129,SCOT,58.24448759,-5.170663545,20-Aug-81,Yes,58.24448759,-6.270663545
FS0065,SCOT,58.39813484,-5.098865385,21-Aug-81,Yes,58.39813484,-5.298865385
FS0464,SCOT,56.2625584,-5.595938451,31-Aug-81,Yes,56.2625584,-6.595938451
FS0559,SCOT,55.87903504,-5.048570206,15-Oct-81,Yes,55.87903504,-7.048570206
FS0212,SCOT,56.68373892,-5.704642875,16-Oct-81,Yes,56.68373892,-6.704642875
FS0570,SCOT,57.36925971,-5.533949089,16-Oct-81,Yes,57.36925971,-6.733949089
FS0237,SCOT,56.78645093,-5.17589808,20-Oct-81,Yes,56.78645093,-6.17589808
FS0245,SCOT,57.25833013,-5.609573239,21-Oct-81,Yes,57.25833013,-6.809573239
FS0090,SCOT,55.88950521,-5.62371797,27-Oct-81,Yes,55.88950521,-6.62371797
