Delta_u,Chrom,win_start,win_end,win_mid
-5.42E-13,5,79000001,8.00E+07,79500000
-5.12E-13,18,1000001,2.00E+06,1500000
-4.60E-13,18,1,1.00E+06,5.00E+05
-4.57E-13,8,25000001,2.60E+07,25500000
-4.09E-13,29,41000001,4.20E+07,41500000
-3.51E-13,28,39000001,4.00E+07,39500000
-2.95E-13,2,60000001,6.10E+07,60500000
-2.69E-13,5,72000001,7.30E+07,72500000
-2.54E-13,5,44000001,4.50E+07,44500000
-2.00E-13,23,46000001,4.70E+07,46500000
-1.82E-13,23,48000001,4.90E+07,48500000
-1.81E-13,29,1000001,2.00E+06,1500000
-1.80E-13,28,38000001,3.90E+07,38500000
-1.58E-13,2,59000001,6.00E+07,59500000
-1.49E-13,6,3000001,4.00E+06,3500000
-1.48E-13,5,71000001,7.20E+07,71500000
-1.46E-13,25,33000001,3.40E+07,33500000
-1.42E-13,20,52000001,5.30E+07,52500000
-1.41E-13,22,49000001,5.00E+07,49500000
-1.37E-13,28,21000001,2.20E+07,21500000
-1.24E-13,13,105000001,1.06E+08,105500000
-1.24E-13,13,37000001,3.80E+07,37500000
-1.22E-13,26,30000001,3.10E+07,30500000
-1.21E-13,19,61000001,6.20E+07,61500000
-1.20E-13,12,2000001,3.00E+06,2500000
1.21E-13,7,28000001,2.90E+07,28500000
1.24E-13,2,11000001,1.20E+07,11500000
1.28E-13,16,82000001,8.30E+07,82500000
1.34E-13,4,80000001,8.10E+07,80500000
1.37E-13,5,68000001,6.90E+07,68500000
1.38E-13,24,35000001,3.60E+07,35500000
1.65E-13,6,1000001,2.00E+06,1500000
1.70E-13,7,48000001,4.90E+07,48500000
1.82E-13,6,6000001,7.00E+06,6500000
1.83E-13,15,94000001,9.50E+07,94500000
1.88E-13,26,47000001,4.80E+07,47500000
2.10E-13,28,33000001,3.40E+07,33500000
3.37E-13,19,60000001,6.10E+07,60500000
3.57E-13,17,55000001,5.60E+07,55500000
3.61E-13,7,49000001,5.00E+07,49500000
4.51E-13,25,47000001,4.80E+07,47500000
4.76E-13,17,56000001,5.70E+07,56500000
