Delta_u,Chrom,win_start,win_end,win_mid
0.000132948,4,23000001,2.40E+07,23500000
0.000382283,4,24000001,2.50E+07,24500000
0.0006322,4,25000001,2.60E+07,25500000
0.00021881,4,26000001,2.70E+07,26500000
0.000115429,7,48000001,4.90E+07,48500000
0.000197594,10,28000001,2.90E+07,28500000
0.000119291,10,29000001,3.00E+07,29500000
0.000116345,11,20000001,2.10E+07,20500000
0.000175579,14,63000001,6.40E+07,63500000
0.000256164,14,64000001,6.50E+07,64500000
0.000283024,17,19000001,2.00E+07,19500000
0.000133279,17,20000001,2.10E+07,20500000
0.000103185,18,26000001,2.70E+07,26500000
0.000219193,18,29000001,3.00E+07,29500000
0.000163475,19,40000001,4.10E+07,40500000
0.000183396,19,41000001,4.20E+07,41500000
0.000143987,19,43000001,4.40E+07,43500000
0.000114024,19,50000001,5.10E+07,50500000
0.00055345,19,51000001,5.20E+07,51500000
0.000390533,19,52000001,5.30E+07,52500000
0.00011428,19,57000001,5.80E+07,57500000
0.000136263,19,58000001,5.90E+07,58500000
0.000115488,19,74000001,7.50E+07,74500000
0.000127037,27,22000001,2.30E+07,22500000
0.000131561,28,20000001,2.10E+07,20500000
0.000123861,28,36000001,3.70E+07,36500000
0.000159626,29,29000001,3.00E+07,29500000
0.000109967,29,30000001,3.10E+07,30500000
